CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Bronze,SOHO,4500,2,,,2,40.83,0.0,40.83,20.42,No,0
Bronze,SOHO,4500,1,1.0,,2,43.83,0.0,43.83,43.83,No,0
Bronze,SOHO,4500,4,,,4,50.5,0.0,50.5,12.63,No,0
Bronze,SOHO,4500,3,,,3,50.67,0.0,50.67,16.89,No,0
Bronze,SOHO,4500,4,,,4,50.83,0.0,50.83,12.71,No,0
Bronze,SOHO,4500,1,,,1,52.0,0.0,52.0,52.0,No,0
Bronze,SOHO,4500,3,,,3,54.17,0.0,54.17,18.06,No,0
Bronze,SOHO,4500,4,,,4,59.5,0.0,59.5,14.88,No,0
Bronze,SOHO,4500,7,,,7,62.17,0.0,62.17,8.88,No,0
Bronze,SOHO,4500,3,,,3,64.5,0.0,64.5,21.5,Yes,1
Bronze,SOHO,4500,2,,,2,66.0,0.0,66.0,33.0,No,0
Bronze,SOHO,4500,3,2.0,,5,69.83,0.0,69.83,23.28,No,0
Bronze,SOHO,4500,2,,,2,71.5,0.0,71.5,35.75,No,0
Bronze,SOHO,4500,5,,,5,71.83,0.0,71.83,14.37,No,0
Bronze,SOHO,4500,5,,,5,72.33,0.0,72.33,14.47,No,0
Bronze,SOHO,4500,2,3.0,,5,73.0,0.0,73.0,36.5,No,0
Bronze,SOHO,4500,6,1.0,,7,74.0,0.0,74.0,12.33,No,0
Bronze,SOHO,4500,5,2.0,,7,75.5,0.0,75.5,15.1,No,0
Bronze,SOHO,4500,5,1.0,,6,82.83,0.0,82.83,16.57,No,0
Bronze,SOHO,4500,3,2.0,,5,84.67,0.0,84.67,28.22,No,0
Bronze,SOHO,4500,5,,,5,92.67,0.0,92.67,18.53,No,0
Silver,SOHO,4500,5,,,5,94.67,0.0,94.67,18.93,No,0
Bronze,SOHO,4500,7,3.0,,10,98.5,0.0,98.5,14.07,No,0
Bronze,SOHO,4500,3,4.0,,7,99.0,0.0,99.0,33.0,No,0
Bronze,SOHO,4500,5,1.0,,6,99.33,0.0,99.33,19.87,No,0
Bronze,SOHO,4500,4,,,4,99.83,0.0,99.83,24.96,Yes,1
Silver,SOHO,4500,5,,,5,104.83,0.0,104.83,20.97,No,0
Silver,SOHO,4500,6,2.0,,8,108.17,0.0,108.17,18.03,No,0
Silver,SOHO,4500,5,,,5,109.17,0.0,109.17,21.83,No,0
Silver,SOHO,4500,9,5.0,,14,111.33,0.0,111.33,12.37,No,0
Bronze,SOHO,4500,8,1.0,,9,113.0,0.0,113.0,14.13,No,0
Silver,SOHO,4500,2,2.0,,4,118.83,0.0,118.83,59.42,No,0
Bronze,SOHO,4500,4,,,4,118.83,0.0,118.83,29.71,No,0
Silver,SOHO,4500,8,,,8,122.5,0.0,122.5,15.31,No,0
Bronze,SOHO,4500,6,1.0,,7,129.33,0.0,129.33,21.56,No,0
Silver,SOHO,4500,3,1.0,,4,133.0,0.0,133.0,44.33,No,0
Bronze,SOHO,4500,4,,,4,136.5,0.0,136.5,34.13,No,0
Bronze,SOHO,4500,5,1.0,,6,137.33,0.0,137.33,27.47,No,0
Silver,SOHO,4500,8,2.0,,10,151.17,0.0,151.17,18.9,No,0
Gold,SOHO,4500,6,1.0,,7,154.67,0.0,154.67,25.78,Yes,1
Silver,SOHO,4500,9,,,9,160.5,0.0,160.5,17.83,No,0
Silver,SOHO,4500,9,,,9,167.0,0.0,167.0,18.56,No,0
Silver,VSE,4500,10,,,10,177.83,0.0,177.83,17.78,No,0
Silver,SOHO,4500,12,,,12,179.67,0.0,179.67,14.97,No,0
Gold,VSE,4500,9,4.0,,13,186.5,0.0,186.5,20.72,No,0
Gold,VSE,4500,14,4.0,,18,187.17,0.0,187.17,13.37,No,0
Gold,SOHO,4500,9,1.0,,10,229.17,0.0,229.17,25.46,No,0
Gold,VSE,4500,3,,,3,239.33,0.0,239.33,79.78,No,0
Silver,SOHO,4500,17,2.0,,19,241.17,0.0,241.17,14.19,No,0
Gold,VSE,4500,9,3.0,,12,265.67,0.0,265.67,29.52,No,0
Silver,VSE,4500,5,1.0,,6,278.67,0.0,278.67,55.73,No,0
Platinum,VSE,4500,8,1.0,,9,295.0,0.0,295.0,36.88,No,0
Platinum,VSE,4500,26,3.0,,29,298.17,0.0,298.17,11.47,No,0
Platinum,VSE,4500,13,,,13,327.33,0.0,327.33,25.18,No,0
Gold,VSE,4500,10,2.0,,12,333.5,0.0,333.5,33.35,No,0
Gold,VSE,4500,15,,,15,354.17,0.0,354.17,23.61,No,0
Platinum,VSE,4500,45,1.0,,46,392.17,0.0,392.17,8.71,No,0
Platinum,VSE,4500,26,,,26,440.33,0.0,440.33,16.94,No,0
Platinum,SOHO,4500,20,,,20,478.83,0.0,478.83,23.94,No,0
Platinum,VSE,4500,11,,,11,423.67,65.0,488.67,38.52,No,0
Bronze,SOHO,4500,3,,,3,71.17,0.0,71.17,23.72,No,0
Bronze,SOHO,4500,3,,,3,84.67,0.0,84.67,28.22,No,0
Bronze,SOHO,4500,4,,,4,86.83,0.0,86.83,21.71,No,0
Bronze,SOHO,4500,4,,,4,94.67,0.0,94.67,23.67,No,0
Bronze,SOHO,4500,5,,,5,96.33,0.0,96.33,19.27,No,0
Bronze,SOHO,4500,4,6.0,,10,102.83,0.0,102.83,25.71,Yes,1
Bronze,SOHO,4500,3,,,3,104.0,0.0,104.0,34.67,No,0
Bronze,SOHO,4500,5,,,5,105.67,0.0,105.67,21.13,No,0
Silver,SOHO,4500,3,,,3,116.17,0.0,116.17,38.72,No,0
Silver,SOHO,4500,4,4.0,,8,124.5,0.0,124.5,31.13,No,0
Silver,SOHO,4500,12,1.0,,13,142.17,0.0,142.17,11.85,No,0
Silver,SOHO,4500,11,,1.0,12,146.83,0.0,146.83,13.35,No,0
Bronze,SOHO,4500,14,,,14,150.0,0.0,150.0,10.71,No,0
Silver,VSE,4500,4,2.0,,6,158.33,0.0,158.33,39.58,No,0
Gold,SOHO,4500,9,,,9,167.83,0.0,167.83,18.65,No,0
Gold,SOHO,4500,11,,,11,178.5,0.0,178.5,16.23,No,0
Gold,VSE,4500,9,2.0,,11,190.17,0.0,190.17,21.13,No,0
Silver,SOHO,4500,18,,,18,195.0,0.0,195.0,10.83,No,0
Silver,SOHO,4500,4,,,4,207.83,0.0,207.83,51.96,No,0
Silver,SOHO,4500,1,11.0,,12,57.0,0.0,57.0,57.0,No,0
Bronze,SOHO,4500,3,,,3,59.83,0.0,59.83,19.94,No,0
Bronze,SOHO,4500,4,1.0,,5,62.17,0.0,62.17,15.54,No,0
