CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Bronze,SOHO,4581,4,,,4,46.0,0.0,46.0,11.5,No,0
Bronze,SOHO,4581,2,1.0,,3,78.33,0.0,78.33,39.17,No,0
Bronze,SOHO,4581,9,1.0,,10,132.83,0.0,132.83,14.76,Yes,1
Silver,SOHO,4581,7,3.0,,10,147.33,0.0,147.33,21.05,No,0
Silver,VSE,4581,4,6.0,,10,153.0,0.0,153.0,38.25,Yes,1
Silver,VSE,4581,6,2.0,,8,204.17,0.0,204.17,34.03,No,0
Silver,SOHO,4581,9,3.0,,12,209.0,0.0,209.0,23.22,No,0
Gold,VSE,4581,10,,,10,243.83,0.0,243.83,24.38,No,0
Gold,VSE,4581,17,,,17,406.33,0.0,406.33,23.9,No,0
Silver,SOHO,4581,7,5.0,,12,215.17,0.0,215.17,30.74,No,0
