CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Bronze,SOHO,4006,2,4.0,,6,52.83,0.0,52.83,26.42,No,0
Bronze,SOHO,4006,3,2.0,,5,70.83,0.0,70.83,23.61,No,0
Bronze,SOHO,4006,6,2.0,,8,72.5,0.0,72.5,12.08,No,0
Bronze,SOHO,4006,4,6.0,,10,78.67,0.0,78.67,19.67,Yes,1
Bronze,SOHO,4006,7,,,7,80.0,0.0,80.0,11.43,No,0
Bronze,SOHO,4006,10,1.0,,11,108.67,0.0,108.67,10.87,Yes,1
Silver,VSE,4006,4,98.0,,102,175.17,0.0,175.17,43.79,Yes,1
Gold,VSE,4006,11,,,11,212.83,0.0,212.83,19.35,No,0
Gold,VSE,4006,11,2.0,,13,217.67,0.0,217.67,19.79,Yes,1
Gold,VSE,4006,11,1.0,,12,245.83,0.0,245.83,22.35,No,0
Gold,VSE,4006,14,5.0,,19,249.5,0.0,249.5,17.82,No,0
Gold,VSE,4006,14,2.0,,16,257.67,0.0,257.67,18.41,No,0
Gold,VSE,4006,12,,,12,277.0,0.0,277.0,23.08,No,0
Gold,VSE,4006,11,,,11,288.0,0.0,288.0,26.18,No,0
Gold,VSE,4006,11,4.0,,15,293.0,0.0,293.0,26.64,No,0
Gold,VSE,4006,30,6.0,,36,347.67,0.0,347.67,11.59,No,0
Gold,SOHO,4006,10,8.0,,18,331.5,80.67,412.17,33.15,No,0
Bronze,SOHO,4006,6,,,6,68.5,0.0,68.5,11.42,No,0
Bronze,SOHO,4006,3,,,3,68.83,0.0,68.83,22.94,No,0
Iron,SOHO,4006,1,,,1,68.83,0.0,68.83,68.83,No,0
Bronze,SOHO,4006,6,,,6,69.5,0.0,69.5,11.58,No,0
Bronze,SOHO,4006,3,3.0,,6,70.0,0.0,70.0,23.33,No,0
Bronze,SOHO,4006,10,,,10,71.0,0.0,71.0,7.1,No,0
Bronze,SOHO,4006,3,,,3,71.5,0.0,71.5,23.83,No,0
Bronze,SOHO,4006,6,,,6,76.33,0.0,76.33,12.72,No,0
Bronze,SOHO,4006,6,,,6,79.17,0.0,79.17,13.2,No,0
Bronze,SOHO,4006,3,,,3,80.5,0.0,80.5,26.83,No,0
Bronze,SOHO,4006,5,6.0,,11,82.5,0.0,82.5,16.5,No,0
Silver,SOHO,4006,5,18.0,,23,83.33,0.0,83.33,16.67,No,0
Bronze,SOHO,4006,7,,,7,83.5,0.0,83.5,11.93,No,0
Bronze,SOHO,4006,3,1.0,,4,49.17,40.0,89.17,16.39,No,0
Silver,SOHO,4006,2,,,2,93.5,0.0,93.5,46.75,No,0
Bronze,SOHO,4006,3,,,3,100.5,0.0,100.5,33.5,No,0
Bronze,SOHO,4006,6,,,6,106.67,0.0,106.67,17.78,Yes,1
Bronze,SOHO,4006,6,1.0,,7,109.83,0.0,109.83,18.31,No,0
Bronze,VSE,4006,6,,,6,114.83,0.0,114.83,19.14,No,0
Bronze,SOHO,4006,7,2.0,,9,128.17,0.0,128.17,18.31,No,0
Silver,VSE,4006,13,2.0,,15,136.17,0.0,136.17,10.47,Yes,1
Silver,SOHO,4006,6,1.0,,7,167.33,0.0,167.33,27.89,No,0
Bronze,SOHO,4006,11,,,11,183.33,0.0,183.33,16.67,No,0
Silver,SOHO,4006,7,,,7,185.5,0.0,185.5,26.5,No,0
Gold,VSE,4006,14,,,14,235.5,0.0,235.5,16.82,No,0
Bronze,SOHO,4006,3,,,3,58.83,0.0,58.83,19.61,No,0
Bronze,SOHO,4006,6,,,6,60.17,0.0,60.17,10.03,No,0
Bronze,SOHO,4006,5,5.0,1.0,11,63.0,0.0,63.0,12.6,No,0
Gold,VSE,4006,13,1.0,,14,147.83,0.0,147.83,11.37,No,0
Silver,SOHO,4006,12,14.0,,26,130.67,0.0,130.67,10.89,No,0
SME,SME,4006,5,168.0,5.0,178,109.67,0.0,109.67,21.93,No,0
SE,SE,4006,11,,,11,96.83,0.0,96.83,8.8,No,0
SME,SME,4006,20,18.0,,38,92.6,0.0,92.6,4.63,No,0
Silver,SOHO,4006,27,,,27,193.0,0.0,193.0,7.15,No,0
Bronze,SOHO,4006,14,1.0,,15,101.5,0.0,101.5,7.25,No,0
Bronze,SOHO,4006,1,,,1,41.83,0.0,41.83,41.83,No,0
Bronze,SOHO,4006,2,,,2,44.5,0.0,44.5,22.25,No,0
Bronze,SOHO,4006,2,2.0,,4,46.0,0.0,46.0,23.0,No,0
Iron,Other,4006,2,,,2,54.5,0.0,54.5,27.25,No,0
Bronze,SOHO,4006,5,,,5,56.5,0.0,56.5,11.3,No,0
