CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Bronze,SOHO,4550,3,,,3,40.5,0.0,40.5,13.5,No,0
Bronze,SOHO,4550,5,1.0,,6,40.83,0.0,40.83,8.17,No,0
Iron,SOHO,4550,1,4.0,,5,42.33,0.0,42.33,42.33,No,0
Iron,SOHO,4550,2,,,2,47.5,0.0,47.5,23.75,No,0
Bronze,SOHO,4550,4,,,4,48.67,0.0,48.67,12.17,No,0
Silver,VSE,4550,2,,,2,60.33,0.0,60.33,30.17,No,0
Bronze,SOHO,4550,4,2.0,,6,61.33,0.0,61.33,15.33,No,0
Bronze,SOHO,4550,4,3.0,,7,62.67,0.0,62.67,15.67,No,0
Bronze,SOHO,4550,8,4.0,,12,62.83,0.0,62.83,7.85,No,0
Bronze,SOHO,4550,3,1.0,,4,70.67,0.0,70.67,23.56,No,0
Bronze,SOHO,4550,3,1.0,,4,73.33,0.0,73.33,24.44,No,0
Bronze,SOHO,4550,5,,,5,73.67,0.0,73.67,14.73,No,0
Bronze,SOHO,4550,3,2.0,,5,80.0,0.0,80.0,26.67,No,0
Bronze,SOHO,4550,4,,,4,81.17,0.0,81.17,20.29,No,0
Bronze,SOHO,4550,2,,,2,85.67,0.0,85.67,42.84,No,0
Bronze,SOHO,4550,6,1.0,,7,90.33,0.0,90.33,15.06,No,0
Bronze,SOHO,4550,1,2.0,,3,91.67,0.0,91.67,91.67,No,0
Bronze,SOHO,4550,5,,,5,99.67,0.0,99.67,19.93,No,0
Bronze,SOHO,4550,6,,,6,106.17,0.0,106.17,17.7,No,0
Gold,VSE,4550,3,13.0,,16,122.67,0.0,122.67,40.89,No,0
Bronze,SOHO,4550,8,1.0,,9,128.17,0.0,128.17,16.02,No,0
Silver,SOHO,4550,3,2.0,,5,136.0,0.0,136.0,45.33,No,0
Silver,SOHO,4550,6,6.0,,12,136.67,0.0,136.67,22.78,No,0
Silver,SOHO,4550,2,3.0,,5,139.17,0.0,139.17,69.59,No,0
Silver,SOHO,4550,10,1.0,,11,161.0,0.0,161.0,16.1,No,0
Platinum,VSE,4550,12,21.0,,33,383.0,0.0,383.0,31.92,No,0
Bronze,SOHO,4550,7,,,7,62.5,0.0,62.5,8.93,No,0
Bronze,SOHO,4550,3,1.0,,4,62.83,0.0,62.83,20.94,No,0
Bronze,SOHO,4550,5,,,5,67.17,0.0,67.17,13.43,No,0
Bronze,SOHO,4550,2,,,2,69.83,0.0,69.83,34.92,No,0
Bronze,SOHO,4550,7,,,7,73.67,0.0,73.67,10.52,No,0
Bronze,SOHO,4550,5,1.0,,6,76.83,0.0,76.83,15.37,No,0
Bronze,SOHO,4550,9,1.0,,10,78.0,0.0,78.0,8.67,No,0
Silver,VSE,4550,3,,,3,89.17,0.0,89.17,29.72,No,0
Gold,VSE,4550,3,2.0,,5,103.33,0.0,103.33,34.44,No,0
Silver,SOHO,4550,8,4.0,,12,103.83,0.0,103.83,12.98,No,0
Silver,SOHO,4550,4,,,4,108.17,0.0,108.17,27.04,No,0
Bronze,SOHO,4550,4,2.0,,6,109.0,0.0,109.0,27.25,No,0
Bronze,SOHO,4550,3,,,3,125.83,0.0,125.83,41.94,No,0
Silver,SOHO,4550,5,1.0,,6,157.17,0.0,157.17,31.43,No,0
Gold,SOHO,4550,12,,,12,271.83,0.0,271.83,22.65,No,0
Gold,VSE,4550,28,13.0,,41,436.0,0.0,436.0,15.57,No,0
Silver,SOHO,4550,2,2.0,,4,13.33,78.83,92.16,6.67,No,0
SME,SME,4550,1,60.0,3.0,64,91.0,0.0,91.0,91.0,No,0
Bronze,SOHO,4550,2,4.0,,6,42.0,0.0,42.0,21.0,No,0
Bronze,SOHO,4550,5,,,5,43.33,0.0,43.33,8.67,No,0
