CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Bronze,SOHO,4020,5,3.0,,8,68.83,0.0,68.83,13.77,No,0
Bronze,SOHO,4020,8,1.0,,9,76.17,0.0,76.17,9.52,No,0
Silver,SOHO,4020,8,,,8,96.0,0.0,96.0,12.0,No,0
Bronze,SOHO,4020,6,,,6,98.67,0.0,98.67,16.45,No,0
Bronze,SOHO,4020,3,,,3,100.0,0.0,100.0,33.33,No,0
Bronze,SOHO,4020,5,2.0,,7,108.83,0.0,108.83,21.77,No,0
Silver,SOHO,4020,2,,,2,114.17,0.0,114.17,57.09,No,0
Bronze,SOHO,4020,6,5.0,,11,117.33,0.0,117.33,19.56,No,0
Silver,VSE,4020,8,,1.0,9,122.0,0.0,122.0,15.25,No,0
Bronze,SOHO,4020,9,5.0,,14,147.67,0.0,147.67,16.41,No,0
Gold,SOHO,4020,4,,,4,158.17,0.0,158.17,39.54,No,0
Silver,SOHO,4020,7,,,7,161.33,0.0,161.33,23.05,No,0
Gold,SOHO,4020,9,2.0,2.0,13,199.0,0.0,199.0,22.11,No,0
Gold,VSE,4020,15,4.0,,19,210.67,0.0,210.67,14.04,No,0
Gold,VSE,4020,14,,,14,254.33,0.0,254.33,18.17,No,0
Gold,VSE,4020,11,1.0,1.0,13,258.67,0.0,258.67,23.52,No,0
Gold,VSE,4020,18,1.0,,19,274.17,0.0,274.17,15.23,No,0
Platinum,VSE,4020,9,7.0,,16,295.33,0.0,295.33,32.81,No,0
Gold,SOHO,4020,12,,,12,295.83,0.0,295.83,24.65,No,0
Platinum,VSE,4020,14,3.0,,17,358.83,0.0,358.83,25.63,No,0
Gold,VSE,4020,16,1.0,,17,361.17,0.0,361.17,22.57,Yes,1
Platinum,VSE,4020,8,1.0,,9,357.5,20.5,378.0,44.69,No,0
Bronze,SOHO,4020,3,,,3,65.17,0.0,65.17,21.72,No,0
Bronze,SOHO,4020,3,4.0,,7,65.67,0.0,65.67,21.89,No,0
Bronze,SOHO,4020,4,2.0,,6,73.0,0.0,73.0,18.25,No,0
Bronze,SOHO,4020,3,3.0,,6,96.5,0.0,96.5,32.17,No,0
Silver,SOHO,4020,5,,,5,97.33,0.0,97.33,19.47,No,0
Silver,SOHO,4020,5,,,5,117.33,0.0,117.33,23.47,No,0
Silver,SOHO,4020,5,,,5,117.67,0.0,117.67,23.53,No,0
Platinum,VSE,4020,20,30.0,,50,469.17,0.0,469.17,23.46,No,0
Platinum,VSE,4020,31,18.0,,49,440.17,0.0,440.17,14.2,No,0
Bronze,SOHO,4020,4,1.0,,5,40.33,0.0,40.33,10.08,No,0
Iron,SOHO,4020,5,,,5,42.33,0.0,42.33,8.47,No,0
Bronze,SOHO,4020,3,,,3,46.5,0.0,46.5,15.5,No,0
Bronze,SOHO,4020,5,,,5,47.83,0.0,47.83,9.57,No,0
