CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Bronze,SOHO,6200,3,2.0,,5,42.83,0.0,42.83,14.28,No,0
Bronze,SOHO,6200,3,2.0,,5,46.67,0.0,46.67,15.56,No,0
Bronze,SOHO,6200,6,1.0,,7,49.67,0.0,49.67,8.28,No,0
Bronze,SOHO,6200,4,,,4,51.33,0.0,51.33,12.83,No,0
Bronze,SOHO,6200,5,2.0,,7,56.17,0.0,56.17,11.23,No,0
Bronze,SOHO,6200,5,,,5,59.33,0.0,59.33,11.87,No,0
Bronze,SOHO,6200,4,,,4,63.67,0.0,63.67,15.92,No,0
Bronze,SOHO,6200,5,,,5,68.33,0.0,68.33,13.67,No,0
Bronze,SOHO,6200,9,5.0,,14,73.17,0.0,73.17,8.13,No,0
Bronze,SOHO,6200,3,1.0,,4,81.83,0.0,81.83,27.28,No,0
Bronze,SOHO,6200,5,,,5,83.0,0.0,83.0,16.6,No,0
Bronze,SOHO,6200,2,2.0,,4,83.5,0.0,83.5,41.75,No,0
Bronze,SOHO,6200,4,,,4,85.33,0.0,85.33,21.33,No,0
Bronze,SOHO,6200,5,,,5,90.83,0.0,90.83,18.17,No,0
Bronze,SOHO,6200,4,,,4,92.67,0.0,92.67,23.17,No,0
Silver,SOHO,6200,7,3.0,,10,94.67,0.0,94.67,13.52,No,0
Bronze,SOHO,6200,4,2.0,,6,95.5,0.0,95.5,23.88,Yes,1
Silver,VSE,6200,3,1.0,,4,105.83,0.0,105.83,35.28,No,0
Silver,SOHO,6200,8,,,8,115.17,0.0,115.17,14.4,No,0
Silver,SOHO,6200,3,,,3,115.5,0.0,115.5,38.5,No,0
Silver,SOHO,6200,11,,,11,125.17,0.0,125.17,11.38,No,0
Bronze,SOHO,6200,11,,,11,125.33,0.0,125.33,11.39,No,0
Silver,SOHO,6200,3,,,3,131.17,0.0,131.17,43.72,No,0
Silver,VSE,6200,12,,,12,178.0,0.0,178.0,14.83,No,0
Silver,SOHO,6200,20,,,20,180.83,0.0,180.83,9.04,No,0
Silver,SOHO,6200,13,,,13,185.67,0.0,185.67,14.28,No,0
Gold,SOHO,6200,14,,,14,219.67,0.0,219.67,15.69,No,0
Gold,VSE,6200,12,1.0,,13,226.33,0.0,226.33,18.86,No,0
Silver,SOHO,6200,7,,,7,239.67,0.0,239.67,34.24,No,0
Platinum,VSE,6200,16,,,16,394.33,0.0,394.33,24.65,No,0
Platinum,VSE,6200,31,54.0,,85,490.17,0.0,490.17,15.81,No,0
SME,SME,6200,24,14.0,,38,414.0,0.0,414.0,17.25,No,0
