AvgMobileRevenue,AvgMobileRevenue_missing,AvgMobileRevenue_imputed_median,AvgMobileRevenue_log1p,AvgMobileRevenue_zscore,AvgMobileRevenue_iqr_outlier,CHURN,churn_binary
40.17,0,40.17,3.7177098357818132,-1.0514552861988422,0,No,0
40.17,0,40.17,3.7177098357818132,-1.0514552861988422,0,No,0
40.17,0,40.17,3.7177098357818132,-1.0514552861988422,0,No,0
40.17,0,40.17,3.7177098357818132,-1.0514552861988422,0,No,0
40.17,0,40.17,3.7177098357818132,-1.0514552861988422,0,No,0
40.17,0,40.17,3.7177098357818132,-1.0514552861988422,0,No,0
40.33,0,40.33,3.721588628523641,-1.0498952918072109,0,Yes,1
40.33,0,40.33,3.721588628523641,-1.0498952918072109,0,No,0
40.33,0,40.33,3.721588628523641,-1.0498952918072109,0,No,0
40.33,0,40.33,3.721588628523641,-1.0498952918072109,0,No,0
40.5,0,40.5,3.7256934272366524,-1.0482377977661026,0,No,0
40.5,0,40.5,3.7256934272366524,-1.0482377977661026,0,No,0
40.5,0,40.5,3.7256934272366524,-1.0482377977661026,0,No,0
40.67,0,40.67,3.7297814454343623,-1.046580303724994,0,No,0
40.83,0,40.83,3.733613785454107,-1.0450203093333628,0,No,0
40.83,0,40.83,3.733613785454107,-1.0450203093333628,0,No,0
40.83,0,40.83,3.733613785454107,-1.0450203093333628,0,No,0
40.83,0,40.83,3.733613785454107,-1.0450203093333628,0,No,0
40.83,0,40.83,3.733613785454107,-1.0450203093333628,0,No,0
40.83,0,40.83,3.733613785454107,-1.0450203093333628,0,No,0
41.0,0,41.0,3.7376696182833684,-1.0433628152922545,0,Yes,1
41.0,0,41.0,3.7376696182833684,-1.0433628152922545,0,No,0
41.0,0,41.0,3.7376696182833684,-1.0433628152922545,0,No,0
41.0,0,41.0,3.7376696182833684,-1.0433628152922545,0,No,0
41.0,0,41.0,3.7376696182833684,-1.0433628152922545,0,No,0
41.0,0,41.0,3.7376696182833684,-1.0433628152922545,0,No,0
41.0,0,41.0,3.7376696182833684,-1.0433628152922545,0,No,0
41.17,0,41.17,3.7417090677584683,-1.041705321251146,0,No,0
41.17,0,41.17,3.7417090677584683,-1.041705321251146,0,No,0
41.17,0,41.17,3.7417090677584683,-1.041705321251146,0,No,0
41.17,0,41.17,3.7417090677584683,-1.041705321251146,0,No,0
41.17,0,41.17,3.7417090677584683,-1.041705321251146,0,No,0
41.17,0,41.17,3.7417090677584683,-1.041705321251146,0,No,0
41.17,0,41.17,3.7417090677584683,-1.041705321251146,0,No,0
41.17,0,41.17,3.7417090677584683,-1.041705321251146,0,No,0
41.17,0,41.17,3.7417090677584683,-1.041705321251146,0,No,0
41.33,0,41.33,3.745496054532832,-1.0401453268595147,0,No,0
41.33,0,41.33,3.745496054532832,-1.0401453268595147,0,No,0
41.33,0,41.33,3.745496054532832,-1.0401453268595147,0,No,0
41.33,0,41.33,3.745496054532832,-1.0401453268595147,0,No,0
41.5,0,41.5,3.7495040759303713,-1.0384878328184062,0,No,0
41.5,0,41.5,3.7495040759303713,-1.0384878328184062,0,No,0
41.67,0,41.67,3.7534960971999087,-1.036830338777298,0,No,0
41.67,0,41.67,3.7534960971999087,-1.036830338777298,0,No,0
41.67,0,41.67,3.7534960971999087,-1.036830338777298,0,No,0
41.83,0,41.83,3.7572387916272794,-1.0352703443856666,0,No,0
41.83,0,41.83,3.7572387916272794,-1.0352703443856666,0,No,0
41.83,0,41.83,3.7572387916272794,-1.0352703443856666,0,No,0
41.83,0,41.83,3.7572387916272794,-1.0352703443856666,0,No,0
42.0,0,42.0,3.7612001156935624,-1.033612850344558,0,No,0
42.0,0,42.0,3.7612001156935624,-1.033612850344558,0,No,0
42.0,0,42.0,3.7612001156935624,-1.033612850344558,0,Yes,1
42.0,0,42.0,3.7612001156935624,-1.033612850344558,0,No,0
