AvgFIXRevenue,CHURN,churn_binary
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,Yes,1
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,Yes,1
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,Yes,1
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,Yes,1
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,Yes,1
0.0,Yes,1
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,Yes,1
0.0,No,0
0.0,Yes,1
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
18.67,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,Yes,1
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,Yes,1
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,Yes,1
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
0.0,No,0
24.83,No,0
0.0,No,0
0.0,No,0
